20101,TRANSAKCIJSKI RAČUNI - STRANA VALUTA
3400,NERASPOREĐENA DOBIT RANIJIH GODINA
340,NERASPOREĐENA DOBIT RANIJIH GODINA
5244,TROŠKOVI OSTALIH PRIMANJA NAKNADA I MATERIJALNIH PRAVA
5111,TROŠKOVI NABAVKE ROBE
1,ZALIHE I SREDSTVA NAMJENJENA PRODAJI
48309,DOPRINOSI ČLANARINE I DRUGA DAVANJA
3300,REVALORIZOVANE REZERVE IZ OSNOVE REVAL.STALNIH SREDSTAVA
3301,REVALORIZOVANE REZERVE IZ OSNOVE REVAL.STALNIH SREDSTAVA
232000,POTRAŽIVANJA OD ZAPOSLENIKA
55699,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
3,KAPITAL
6,PRIHODI
0900,ODLOŽENA POREZNA SREDSTVA
55621,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
55690,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
6881,STALNA SREDSTAVA POPRAVKA
1100,PROIZVODNJA U TOKU
1200,PROIZVODI U VLASTITOM SKLADIŠTU
4708,PDV PO OSNOVU ISPORUKA DRUGIM OBVEZNICIMA PDV-A
13202,ROBA U PRODAJI NA VELIKO
54,AMORTIZACIJA I TROŠKOVI REZERVISANJA
5129,UTROŠENA ENERGIJA I GORIVO
2115,KUPCI U ZEMLJI
20102,TRANSAKCIJSKI RAČUNI - STRANA VALUTA
6120,PRIHODI OD KAMATA PO OSNOVU ZAJMOVA I OST.FIN.PRIHODI
4503,OBAVEZE ZA NETO PLAĆE I NAKNADE PLAĆA
131,NEKRETNINE NABAVLJENE RADI DALJE PRODAJE
2331,POTRAŽIVANJA OD DRŽAVNIH ORGANA I INSTITUCIJA
51390,UTROŠENI REZERVNI DIJELOVI
5237,TROŠKOVI SLUŽBENIH PUTOVANJA ZAPOSLENIH
0222,UREĐAJI I INSTALACIJE
10322,FLOPPY CD DVD MEDIJI
53903,TROŠKOVI OSTALIH USLUGA
6882,NAKNADNO UTVRĐ.IZDACITROŠKOVIRASHODI IZ RANIJIH GODINA
28010,UNAPRIJED PLAĆENI RASHODI
5567,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
28011,UNAPRIJED PLAĆENI RASHODI
55670,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
2700,PDV U PRIMLJENIM FAKTURAMA
4429,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
44292,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
143,POSTROJENJA I OPREMA NAMJENJENA PRODAJI
539003,TROŠKOVI OSTALIH USLUGA
6501,TROŠKOVI PRODATIH PROIZVODA SA SKLADIŠTA
5132,UTROŠENI REZERVNI DIJELOVI
688,PRIHODI OD USKL.VRIJEDNOSTI SREDSTAVA NAMIJ.PRODAJI
4835,DOPRINOSI ČLANARINE I DRUGA DAVANJA
55672,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
5565,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
144,INVESTICIJSKE NEKRETNINE NAMJENJENE PRODAJI
145,BIOLOŠKA SREDSTVA NAMJENJENA PRODAJI
15,DATI AVANSI
02235,******** SOFTWARE
55662,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
138009,UKALKULISANI POREZ PPU 10%
60203,RABAT U VP
5325,TROŠKOVI USLUGA ODRŽAVANJA
3100,UPISANE NEUPLAĆENE DIONICE
01,NEMATERIJALNA SREDSTVA
011,KONCESIJE PATENTI LICENCE ZAŠTITNI ZNAKOVI I DR.PRAVA
0110,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
0111,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
0112,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
0113,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
0114,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
0118,PATENTI LICENCE I ZAŠTITNI ZNAKOVI
013,ULAGANJA NA TUĐIM STALNIM SREDSTVIMA
0710,POTRAŽIVANJA PO OSNOVU PRODAJE NA KREDIT
0781,OSTALA DUGOROČNA POTRAŽIVANJA
551958,TROŠKOVI REPREZENTACIJE
0115,OSTALI OSNIVAČKI IZDACI
2219,POTRAŽIVANJA OD SPECIFIČNIH POSLOVA
010,KAPITALIZIRANA ULAGANJA U RAZVOJ
0100,KAPITALIZIRANA ULAGANJA U RAZVOJ
0101,KAPITALIZIRANA ULAGANJA U RAZVOJ
0105,KAPITALIZIRANA ULAGANJA U RAZVOJ
0108,KAPITALIZIRANA ULAGANJA U RAZVOJ
012,GOODWILL
0120,GOODWILL
0121,GOODWILL
0128,GOODWILL
015,NEMATERIJALNA SREDSTVA U PRIPREMI
0150,ULAGANJA U PATENTE LICENCE I KONCESIJE
0151,ULAGANJA U OSNIVAČKE IZDATKE
0152,ULAGANJA U ISTRAŽIVANJA I RAZVOJ
0153,ULAGANJA U GOODWILL
0155,ULAGANJA U OSTALA NEMATERIJALNA SREDSTVA
0158,REVALORIZACIJA NEMATERIJALNIH SREDSTAVA U PRIPREMI
01401,OSTALA NEMATERIJALNA SREDSTVA
01402,OSTALA NEMATERIJALNA SREDSTVA
01403,OSTALA NEMATERIJALNA SREDSTVA
01404,OSTALA NEMATERIJALNA SREDSTVA
017,AVANSI ZA NEMATERIJALNA SREDSTVA
01405,OSTALA NEMATERIJALNA SREDSTVA
01408,OSTALA NEMATERIJALNA SREDSTVA
0194,ISPRAVKA VRIJEDNOSTI NEGATIVNOG GOODWILL-A
0214,BARAKE
0219,REVALORIZACIJA GRAĐEVINA
2009,PRELAZNI RAČUN
0141,OSTALA NEMATERIJALNA SREDSTVA
0142,OSTALA NEMATERIJALNA SREDSTVA
0143,OSTALA NEMATERIJALNA SREDSTVA
01440,OSTALA NEMATERIJALNA SREDSTVA
0146,OSTALA NEMATERIJALNA SREDSTVA
